店铺名字,类别,id,月销售,经度,纬度
贡茶,奶茶果汁,E9708929888264196521,8,113.073102,22.867649
四季巷,奶茶果汁,E4672328252906161309,13,113.076624,22.88178
叁茶陆礼,奶茶果汁,E9584019084079622854,183,113.075116,22.875861
饮得爽奶茶汉堡,奶茶果汁,E968381636542823343,13,113.071386,22.887943
茶萃吧,奶茶果汁,E15767054233882486403,210,113.073347,22.91876
royaltea皇茶,奶茶果汁,E18197825726333006976,231,113.072904,22.918207
三分甜地,奶茶果汁,E3433189279949499741,134,113.078628,22.916237
甜啦啦(水藤店),奶茶果汁,E17537921116460987198,345,113.073448,22.918641
茶居,奶茶果汁,E11897760174729996337,75,113.078109,22.917719
菠萝蜜,奶茶果汁,E14696438827652523529,65,113.074884,22.919021
聚茶,奶茶果汁,E405429613147429648,16,113.083718,22.917016
乌所味(天佑城店),奶茶果汁,E12395366776064972735,702,113.108863,22.947092
氢茶,奶茶果汁,E16427485455576471638,135,113.098048,22.958706
大台北,奶茶果汁,E17965443615257810262,91,113.105752,22.945052
恋茶旋律,奶茶果汁,E11393770457780502583,21,113.079203,22.940031
四云奶盖贡茶(天佑店),奶茶果汁,E9443962900679917502,163,113.107,22.947229
ManceTey,奶茶果汁,E13168190245042620384,417,113.108964,22.94691
黎泉凉茶,奶茶果汁,E5415847115504226118,50,113.081435,22.959265
甜不甜,奶茶果汁,E6786558468146485401,816,113.107497,22.946794
御茶(乐从网红店),奶茶果汁,E8088565741886799616,63,113.094551,22.953712
SOUFFLE舒芙蕾,奶茶果汁,E11476602786739729242,38,113.10348,22.953431
FRUITYMIX水果捞,奶茶果汁,E11591292459887516529,45,113.115523,22.965954
茶库,奶茶果汁,E7819121610737508109,35,113.114844,22.966248
金玉茶缘,奶茶果汁,E11394089868324267003,34,113.085909,22.959279
李氏凉茶,奶茶果汁,E17335497316211319125,8,113.086341,22.961363
鹿野茶事,奶茶果汁,E12843439173657544927,133,113.106321,22.94801
Landmark柠檬茶(佛山新城店),奶茶果汁,E8831874052727803444,26,113.114835,22.965651
皇茶,奶茶果汁,E7261953406068657230,68,113.079668,22.943002
一座一茶·汉堡·小吃,奶茶果汁,E16703796564002600705,66,113.100153,23.040623
悠闲时光(张槎店),奶茶果汁,E9692725883213569351,42,113.101091,23.035541
茶道壹柠(华强广场店),奶茶果汁,E5970412038553023903,37,113.1112006,23.03985969
七色鲜茶,奶茶果汁,E11778154987948190113,71,113.116833,23.034676
美芝城奶茶汉堡(张槎店),奶茶果汁,E6948007261846925347,39,113.092164,23.038842
思仪茶饮,奶茶果汁,E14840604877532185772,0,113.102007,23.104469
