,店铺名字,类别,poiid,ctPoi,经度,纬度
164,贡茶（广州电影院店）,奶茶/果汁,65462299,032993311645349738152990596470664416460_a65462299_c14_e8945947558201440894_nareaid23,23.10839,113.25447
165,猫住hide&seek·猫咖生活馆,咖啡厅,168929102,032993311645349738152990596470664416460_a168929102_c0_e4192897862712310834_nareaid23,23.12086,113.312753
166,HUNCHA（东山口店）,咖啡厅,159078822,032993311645349738152990596470664416460_a159078822_c1_e4192897862712310834_nareaid23,23.117527,113.298307
167,COMEBUY甘杯（动漫星城店）,奶茶/果汁,188060526,032993311645349738152990596470664416460_a188060526_c2_e4192897862712310834_nareaid23,23.125783,113.264996
168,午潼NGTONE（北京路店）,饮品店,159976548,032993311645349738152990596470664416460_a159976548_c3_e4192897862712310834_nareaid23,23.121547,113.267177
169,COFFEEYAN LAB,咖啡厅,157850076,032993311645349738152990596470664416460_a157850076_c4_e4192897862712310834_nareaid23,23.127652,113.294026
170,芮拉咖啡LA CAFFERIA（汇华店）,咖啡厅,40185594,032993311645349738152990596470664416460_a40185594_c5_e4192897862712310834_nareaid23,23.136464,113.295467
171,COVITA乐啡塔咖啡（北京路店）,咖啡厅,182167541,032993311645349738152990596470664416460_a182167541_c6_e4192897862712310834_nareaid23,23.122664,113.265853
172,帝芬诺咖啡厅（东方文德广场店）,咖啡厅,89871814,032993311645349738152990596470664416460_a89871814_c7_e4192897862712310834_nareaid23,23.12268,113.272125
173,巴芙臻茶（五羊店）,奶茶/果汁,164643424,032993311645349738152990596470664416460_a164643424_c8_e4192897862712310834_nareaid23,23.118584,113.314438
174,Godiva（丽柏广场店）,冰淇淋,91312116,032993311645349738152990596470664416460_a91312116_c9_e4192897862712310834_nareaid23,23.13774,113.286536
175,禧御贡茶（北京路禺山店）,奶茶/果汁,86183949,032993311645349738152990596470664416460_a86183949_c10_e4192897862712310834_nareaid23,23.12177,113.26928
176,旭饮·楼下,奶茶/果汁,193791819,032993311645349738152990596470664416460_a193791819_c11_e4192897862712310834_nareaid23,23.126891,113.314632
177,希尔顿逸林酒店—大堂茶廊Canton Lounge,咖啡厅,6656933,032993311645349738152990596470664416460_a6656933_c12_e4192897862712310834_nareaid23,23.131283,113.271135
